,MAE,MSE,R2
Linear Regression,3.8781934307132087,23.80469215057677,0.4943293429298581
Decision Tree Regressor,3.1222216135001144,16.61143092285417,0.6471320386543449
Random Forest Regressor,3.121920806276675,16.53744139569088,0.6487037595814757
Gradient Boosting Regressor,3.4964368948669144,19.794117746066156,0.5795238827932285
